TS,COMPANYID,BICYCLEID,POSITIONTIME,LOCKSTATUS,BICYCLE_LNG,BICYCLE_LAT,LOCKID,NEW_BICYCLEID,X_position,Y_position,TID,Distance,Time_consuming,Speed
5/6/2024 08:33:10,110002,8669325080,2024-06-05 08:33:59,0,116.491887,39.780329,8669325080,110002-8669325080YZ24,116.48586538,39.77909149,1,2.127351867377597,56662.0,3.754459544981817e-05
5/6/2024 08:33:13,110002,8669325080,2024-06-05 08:34:02,0,116.491887,39.780323,8669325080,110002-8669325080YZ24,116.48586538,39.77908549,0,0.6661823412769317,3.0,0.2220607804256439
5/6/2024 08:33:15,110002,8669325080,2024-06-05 08:34:04,0,116.491913,39.780334,8669325080,110002-8669325080YZ24,116.48589148,39.77909657,0,2.5520352960496555,2.0,1.2760176480248278
5/6/2024 08:33:18,110002,8669325080,2024-06-05 08:34:07,0,116.4919,39.780323,8669325080,110002-8669325080YZ24,116.48587843,39.77908553,0,1.6590323499812345,3.0,0.5530107833270782
5/6/2024 08:33:21,110002,8669325080,2024-06-05 08:34:10,0,116.491898,39.780324,8669325080,110002-8669325080YZ24,116.48587642,39.77908653,0,0.2048861809064872,3.0,0.0682953936354957
5/6/2024 08:33:24,110002,8669325080,2024-06-05 08:34:14,0,116.491887,39.780323,8669325080,110002-8669325080YZ24,116.48586538,39.77908549,0,0.952802165791079,4.0,0.2382005414477697
5/6/2024 07:56:43,110002,8669325082,2024-06-05 07:57:32,0,116.547123,39.767964,8669325082,110002-8669325082YZ21,116.54129276,39.76687906,1,0.8407115724413311,47811.0,1.7584061668681497e-05
5/6/2024 07:56:47,110002,8669325082,2024-06-05 07:57:36,0,116.547125,39.767967,8669325082,110002-8669325082YZ21,116.54129476,39.76688206,0,0.3745876843591872,4.0,0.0936469210897968
5/6/2024 07:56:49,110002,8669325082,2024-06-05 07:57:39,0,116.547129,39.76798,8669325082,110002-8669325082YZ21,116.54129877,39.76689507,0,1.4848035960980803,3.0,0.4949345320326934
5/6/2024 07:56:52,110002,8669325082,2024-06-05 07:57:42,0,116.54713,39.767981,8669325082,110002-8669325082YZ21,116.54129978,39.76689607,0,0.1407726129993318,3.0,0.0469242043331106
